knowledge,raw_question,correct_answer,hallucinated_answer
"The Royal Spa Centre is a Theatre in Leamington Spa, England. The Centre was officially opened on 15 June 1972 by Anthony Eden, one time MP for Leamington and Warwick and Prime Minister of the UK.Robert Anthony Eden, 1st Earl of Avon, (12 June 1897 – 14 January 1977) was a British Conservative politician who served three periods as Foreign Secretary and then a relatively brief term as Prime Minister of the United Kingdom from 1955 to 1957.",In what political party was the man who officially opened he Royal Spa Centre in 1972?,Conservative,The man who opened the Royal Spa Centre in 1972 was a member of the Labour Party.
"Sooni Taraporevala (born 1957) is an Indian screenwriter, photographer and filmmaker who is best known as the screenwriter of ""Mississippi Masala"", ""The Namesake"" and Oscar-nominated ""Salaam Bombay"" (1988), all directed by Mira Nair.Mississippi Masala is a 1991 romantic drama film directed by Mira Nair, based upon a screenplay by Sooni Taraporevala, starring Denzel Washington, Sarita Choudhury, and Roshan Seth.",Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,Salaam Bombay,The Namesake
"Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt.",Are both Tim McIlrath and Spike Slawson American punk rock musicians?,yes,"Tim McIlrath and Spike Slawson are both musicians, but only one is an American punk rock musician."
"Gigantic is a 2008 independent comedy film directed by Matt Aselton and starring Paul Dano, Zooey Deschanel, John Goodman, Edward Asner and Jane Alexander. Early in his career, he was best known for playing Dan Conner on the ABC TV series ""Roseanne"" (1988–1997), for which he won a Golden Globe Award for Best Actor in 1993.","The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",Zooey Deschanel,John Goodman starred in Gigantic.
" Gabby Logan and Vernon Kay present the show, whilst Team GB Olympic Bronze Medal winning diver Tom Daley is the expert mentor to the celebrities. Tom Daley specialises in the 10-metre platform event and is a double World champion in the event; he won the 2009 FINA World Championionship in the individual event at the age of 15, before regaining it in 2017.","The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",15,"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at the age of 21."
" Following the poor chart performance, ""I Got a Thang for You"" featuring Keyshia Cole, was released as the album's second single.Keyshia Cole (born October 15, 1981) is an American singer/songwriter, record producer, business woman, and television personality.","Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",Keyshia Cole,"""I Got a Thang for You"" featured Rihanna."
"Am Rong (1929 – May 1975) was a Cambodian soldier and filmmaker, who acted as a spokesman on military matters for the Khmer Republic during the Cambodian Civil War. His father was also an actor and filmmaker.",What profession does Am Rong and Alexandre Rockwell have in common?,filmmaker,Alexandre Rockwell and Am Rong are not in the same profession.
"El Nuevo Cojo Ilustrado is an American online Spanish language magazine published from Los Angeles, California. Originally it was an arts and opinion magazine focused exclusively on Venezuelan culture for Venezuelans living in the United States.Golf Magazine is a monthly golf magazine owned by ""Time Inc."" It was started in April, 1959 by Universal Publishing and Distributing, who sold it to Times Mirror in 1972.",El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?,Golf Magazine,El Nuevo Cojo Ilustrado is owned by Time Inc.
" In the episode, Homer starts a bowling team with Moe, Apu, and Otto. When Mr. Burns discovers the team was funded with his money, he insists on joining. He is the school bus driver for Springfield Elementary School.",Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,Mr. Burns,The bowling team is self-funded.
"The George Washington University Hospital is located in Washington, D.C. in the United States.MedStar Washington Hospital Center is the largest private hospital in Washington, D.C. A member of MedStar Health, the not-for-profit Hospital Center is licensed for 926 beds.",What city are George Washington University Hospital and MedStar Washington Hospital Center located in?,"Washington, D.C.",The George Washington University Hospital and MedStar Washington Hospital Center are located in different cities.
" Lauded for his work on the London stage he came to the screen in the groundbreaking HBO series ""Band of Brothers"" playing 1st Lt Norman Dike. Dike was portrayed in the HBO miniseries ""Band of Brothers"" by Peter O'Meara.",what is the connection between Peter O'Meara and Norman Dike?,Band of Brothers,Peter O'Meara played Norman Dike's brother.
" Dysteleology is an aggressive, yet optimistic, form of science-oriented atheism originally perhaps associated with Haeckel and his followers, but now perhaps more associated with the type of atheism of Richard Dawkins, Sam Harris, or Christopher Hitchens. He contributed to ""New Statesman"", ""The Nation"", ""The Weekly Standard"", ""The Atlantic"", ""London Review of Books"", ""The Times Literary Supplement"", ""Slate"", ""Free Inquiry"" and ""Vanity Fair"".","What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?",Christopher Hitchens,"Richard Dawkins, a noted atheist."
"R Adams Cowley (July 25, 1917 – October 27, 1991), the ""Father of Trauma Medicine,"" was an American surgeon considered a pioneer in emergency medicine and the treatment of shock trauma. He is also known for being one of the first surgeons to perform open-heart surgery and invented both a surgical clamp that bears his name and a prototype pacemaker that was used by Dwight D. Eisenhower.Dwight David ""Ike"" Eisenhower ( ; October 14, 1890 – March 28, 1969) was an American politician and Army general who served as the 34th President of the United States from 1953 until 1961.",Who developed the prototype pacemaker used by the 34th President of the USA?,R Adams Cowley,R Adams Cowley's surgical clamp was a favorite tool of President Eisenhower.
"Bizarre was a British alternative magazine published from 1997 to 2015. It was published by Dennis Publishing, and was a sister publication to the ""Fortean Times"".Fortean Times is a British monthly magazine devoted to the anomalous phenomena popularised by Charles Fort. Previously published by John Brown Publishing (from 1991 to 2001) and then I Feel Good Publishing (2001 to 2005), it is now published by Dennis Publishing Ltd.",Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,Dennis Publishing,John Brown Publishing has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort.
"""Friends in Low Places"" is a song performed by American country pop artist Garth Brooks. It was released on August 6, 1990 as the lead single from his album ""No Fences"". It was released on August 27, 1990, and reached #1 on ""Billboard's"" Top Country Albums chart.","Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",Garth Brooks,"""Friends in Low Places"" was performed by Brooks Garth."
